category_code,category_label,parent_code,text
1A2,Unsteady Aerodynamics,1A0,"Unsteady Aerodynamics - In aerodynamics, unsteady phenomena occur from shock-boundary layer interaction or boundary layer separation, but also are present in the flows around rotating systems. They concern the external aerodynamics of all the vehicles: aircraft, helicopter, projectile and launcher. To answer the purpose of transport aircraft, the aims of studies are guided by the requirement of non separated flow in cruise and some constraints in the flight envelope: buffeting onset, flutter risk, limit cycle oscillation and level and spectral power of the loads on structures. Unsteadiness is an important parameter on the behaviour and the performances of flexible aircraft. For fighters at high angle of attack, separated flows are encountered in air intakes on forebody, wings and afterbody. Thus, hysteresis phenomena of lift coefficient is the characteristic of quick manoeuvres in aerial combat. The aircraft behaviour during flight in turbulence is also an important feature for penetration mission. Airflow around helicopter is of course unsteady due to the relative speed of local flow on the blades during the rotation of the rotor (advancing side and retreating side) and to the cyclic movements of articulated blades. The same kind of unsteady interaction is encountered between propfan and wing of commuters. The buffeting observed at the base of launchers is created by strong separation of the external flow and interactions with exhaust plume. Internal separation in over-expanded nozzles at the take-off is unsteady and 3D and causes lateral forces beside the thrust. The behaviour in gust and during the activation of control surfaces is important data for the control of the vehicles. Unsteady flows are also encountered in turbomachinery due to the rotation and interactions between the stages. - 1. Computational Fluid Dynamics_x000D_
2. Wind tunnel testing; Aeroelasticity_x000D_
3. Flow separation_x000D_
4. Rotor aerodynamics_x000D_
5. Buffeting_x000D_
6. Flutter_x000D_
7. Shock wave-boundary layer inter-action_x000D_
8. Buzz_x000D_
9. Surging_x000D_
10. Rotating stall"
1A11,External Noise Prediction,1A0,"External Noise Prediction - Prediction of aircraft noise in view of reducing community annoyance around airports and heliports. This includes jet aeroplanes, propeller aeroplanes, and helicopters. Studies are mainly focussed on transport aviation, but military aircraft and general aviation also are of concern. In each of the following sub-domains, one has to deal with three main activities._x000D_
_x000D_
- Analytical or numerical simulations. _x000D_
_x000D_
- Tests in static facilities, in wind tunnels, or in flight. _x000D_
_x000D_
Optimisation of novel designs. - 1. Turbofan or turbojet engines_x000D_
_x000D_
2. Helicopter turboshaft engines_x000D_
_x000D_
3. Propeller (high speed and general aviation)_x000D_
_x000D_
4. Helicopter rotors (main rotor, tail rotor)_x000D_
_x000D_
5. Airframe-generated noise (high lift devices, landing gears)_x000D_
_x000D_
6. Installation effects of engines_x000D_
_x000D_
7. Sonic boom of supersonic aircraft_x000D_
_x000D_
includes ARDEP Sub domain NOIS of ENV domain"
1A6,Wing Design,1A0,"Wing Design - The main objective of the wing design is the minimisation of the drag in cruise conditions :_x000D_
_x000D_
- Lift induced drag, through appropriate platform, twist design or through wing tip devices (winglet, wing tip sail, tip turbine,?);_x000D_
_x000D_
- viscous drag, through airfoil section shaping to avoid separation of turbulent boundary layer;_x000D_
_x000D_
- Shock wave drag, controlled in order to prevent strong interaction with boundary layer (no separation). _x000D_
_x000D_
On the other hand, improvements are searched on aerodynamic interactions, in particular wing-body, propulsion installation and static margin in order to reduce the trim drag._x000D_
_x000D_
The wing design uses the last improvements of CFD with numerical optimisation tools and now some multidisciplinary constraints are included in the process._x000D_
_x000D_
For the design of flexible wing like rotorcraft blade, coupling methods are used where structural deformations are taken in account. In some cases acoustic constraints are also introduced._x000D_
_x000D_
On missiles, the design of control surfaces is mainly driven by hinge moment constraint. - 1. Computational Fluid Dynamics_x000D_
_x000D_
2. Wind Tunnel Testing_x000D_
_x000D_
3. Drag reduction_x000D_
_x000D_
4. Wing tip device_x000D_
_x000D_
5. Multidisciplinary optimisation_x000D_
_x000D_
6. Flexible wing_x000D_
_x000D_
7. Noise reduction"
1A7,Aerodynamic of External and Removable Items,1A0,"Aerodynamic of External and Removable Items - The spreading out of landing gears which provokes an increase of the drag and a negative pitching moment which can modify the behaviour of the aircraft and these aerodynamic phenomena have to be taken in account in flight model for the approach phase and take-off. On the other part, the landing gears increase the aerodynamic noise and some solutions are searched to minimize this nuisance._x000D_
_x000D_
Antenna but also mainly pods are also sources of extra drag and possible aeroelastic problems. The external carriage of stores causes a drag penalty for the aircraft. Fuel tanks (and missiles for military aircraft) dramatically reduce the range of the aircraft and induce modifications of the static margin. At transonic speeds, unstable shock waves are located on stores and can cause damages on control surfaces. Store carriage optimisation aims at reducing drag penalty (conformal pack), flow unsteadiness as well as radar signature._x000D_
_x000D_
Evaluation of store trajectories during release is needed for flight security. - 1. Computational Fluid Dynamics_x000D_
_x000D_
2. Wind Tunnel Testing_x000D_
_x000D_
3. Aerodynamic noise_x000D_
_x000D_
4. Unsteady flow_x000D_
_x000D_
5. Radar signature_x000D_
_x000D_
6. Landing Gear_x000D_
_x000D_
7. Flight / Ground Tests_x000D_
_x000D_
8. Pod"
1A9,Wind Tunnel Measuring Techniques,1A0,"Wind Tunnel Measuring Techniques - Conventional measuring techniques mostly rely upon strain gauges and temperature sensors. Non intrusive optical measuring techniques are able to visualise the flow structure and to provide quantitative data relative to both surface characteristics (pressure distribution, transition detection, etc.) and flow field properties (mainly velocity and turbulence). - 1. Pressure: (un)steady pressures, Pitot/multihole probes, PSP (Pressure Sensitive Paints)._x000D_
_x000D_
2. Temperature and heat flux: Infrared Thermography, thermocouples, hot wire, hot film._x000D_
_x000D_
3. Velocity: LDV (Laser Doppler Velocimetry), PIV (Particle Image Velocimetry), DGV (Doppler Global Velocimetry)._x000D_
_x000D_
4. Flow visualisation: Schlieren technique, shadowgraphy, laser tomoscopy, Rayleigh scattering, interferometry._x000D_
_x000D_
5. Surface visualisation: oil film, mini-tufts, infrared or sublimation transition detection._x000D_
_x000D_
6. Forces, moments: strain-gage balances (6-component or local loads)._x000D_
_x000D_
7. Model attitude/deformation: potentiometers, accelerometers, photogrammetry, moiré."
1A1,Computational Fluid Dynamics,1A0,"Computational Fluid Dynamics - Computational Fluid Dynamics (CFD) consists in the development, validation, and use of software tools for the numerical simulation of fluid flows past aerodynamic vehicles. CFD is a discipline necessitating the knowledge of applied mathematics, fluid dynamics and computer sciences. Different levels of modelling are used for solving the governing partial differential equations of fluid flows (incompressible or compressible, inviscid or viscous...). Physical models have to be validated and calibrated by comparison with experimental data. Geometry of flow domain and boundary and initial conditions must be taken into account properly. Discretised equations are solved through numerical schemes and algorithms aiming at accuracy, efficiency and robustness. The computer codes are run on scalar or parallel computers along the following steps: After the grid generation (or adaptation), the CFD solver is run before post-processing and visualisation of the results. CFD is used for understanding physics by flow analysis, for performance prediction of complex aerodynamic configurations and for flow control or optimum design studies. - 1. Physical modelling (turbulent, reactive flows…)_x000D_
2. Development of numerical schemes and algorithms_x000D_
3. Development and production of CFD software_x000D_
4. Validation of CFD software_x000D_
5. Grid generation and adaptation_x000D_
6. High Performance computing (vector and parallel processing)_x000D_
7. Complex CFD applications"
1A10,Computational Acoustics,1A0,"Computational Acoustics - Computational methods for the numerical propagation of sound through internal and external flows. Computational predictions are most often split into noise source modelling and numerical simulation of acoustic propagation. Noise source modelling is strongly problem-dependent (turbulence, blade loads fluctuations, cavity resonances, combustion, vibrations) and is assumed to be covered by domain 302. _x000D_
_x000D_
Methods for the numerical propagation of sound through internal and external flows can be split into two categories, (1) integral methods and (2) discretised methods. _x000D_
_x000D_
1. Integral methods mostly used for external problems in which acoustic propagation is assumed by the analytical Green's function in free field and uniform flow. The sound is computed at any observer point through a surface or volume integral. _x000D_
_x000D_
2. Discretized methods assume the discretisation of relevant continuous equations over the propagation medium. Flow non-homogeneities (spatial and temporal) are taken into account from CFD results. Internal and external flows are concerned. - 1. Noise source modelling._x000D_
_x000D_
2. Numerical simulation of acoustic propagation.meters, accelerometers, photogrammetry, moiré."
1A3,Aeronautical Propulsion Integration,1A0,"Aeronautical Propulsion Integration - 1. For aircraft, the design of powerplant installation aims to minimise the installation drag by avoiding the separation on the pylon or on the wing in all the flight envelope, particularly at low lift coefficient. New installations are studied in order to reduce the noise, for example by engine location on the upper side of the wing or with semi-buried engines. Experimental tests on models in wind tunnels need to use TPS techniques for simulating the mass flow rate into the nacelle and its effect on the flow around the wing. _x000D_
2. For rotorcraft, the aims of the studies are to minimise the hub drag and the interaction drag and to reduce the aerodynamic noise. Some works concern the design of air intakes in relation to airflow through the rotor and of the nozzle in order to reduce the heat transfer on the rear part of the fuselage (infrared signature). _x000D_
3. For airbreathing missile, the air intakes are optimised to take in account some constraints of furtivity (RCS) and assume a good efficiency at high angle of attack. Some devices are necessary to prevent the separation of the flow on thin lips or in the S-shape diffuser. - 1. Computational Fluid Dynamics_x000D_
2. Wind Tunnel Testing_x000D_
3. Air intake_x000D_
4. Nozzle_x000D_
5. Drag reduction_x000D_
6. Flow separation_x000D_
7. Air flow control_x000D_
8. Infrared Signature_x000D_
9. Radar signature_x000D_
10. Noise reduction"
1A4,Airflow Control,1A0,"Airflow Control - In this recent and promising area, a lot of devices are searched to act on the boundary layer, on shock-boundary layer interaction, on separation or on vortex development in order to :_x000D_
- reduce the drag by active or passive means;_x000D_
- develop new concepts for improving the behaviour or the control of the aircraft near the limits of the flight envelope or to extend the flight envelope;_x000D_
- minimise the effect of wake behind large aircraft in take-off or landing configurations. _x000D_
The control systems concern civil aircrafts, fighters and rotor blades and can be passive or active. MEMS can also be used. For controlling the boundary layer separation due to shock or adverse pressure gradient, the main devices are vortex generators, bump, cavity (passive control) and fluidic systems (blowing or synthetic jet). To reduce the friction drag of turbulent boundary layer, riblets or MEMS can be used. The delay of the transition location is obtained through laminar flow control techniques. The vortex control is realised by mechanical (leading edge flaps) or pneumatic device (forebody and wing vortices). Trailing edge vortex control can be made with adapted trailing edge flaps. Optimisation of rotor blades is also searched to get less vibration and less noise by means of active control without diminishing aerodynamic efficiency (mechanical or pneumatic system).For stealth subsonic airbreathing missile, control devices are needed to prevent separation of the airflow in the short S duct. - 1. Computational Fluid Dynamics_x000D_
2. Wind Tunnel Testing_x000D_
3. Drag reduction_x000D_
4. Laminar flow_x000D_
5. Transition/turbulence_x000D_
6. MEMS_x000D_
7. Vortex generator_x000D_
8. Wing tip device_x000D_
9. Synthetic jet_x000D_
10. Blowing flap_x000D_
11. Bump riblet"
1A5,High Lift Devices,1A0,"High Lift Devices - Main objectives of the studies related to high lift devices are :_x000D_
_x000D_
- to reduce take-off and landing distances ;_x000D_
_x000D_
- to get simpler and lighter high lift systems (typically 3 airfoils) with the same efficiency than more complex systems ;_x000D_
_x000D_
- to reduce aerodynamic noise. _x000D_
_x000D_
The first topic concerns civil transport and military aircraft. Because the high sweep angle of the wing of supersonic transport and combat aircraft, the leading edge and trailing edge flaps have to be efficient at higher angles of attack for the landing._x000D_
_x000D_
The multi-surface lifting arrangement is very sensitive to viscous effects due to the very closed interactions between wakes and boundary layers._x000D_
_x000D_
Specific distributions of the lift along the wing are also studied in order to modify the topology of the vortices in the wake of big aircraft. - 1. Computational Fluid Dynamics_x000D_
_x000D_
2. Wind Tunnel Testing_x000D_
_x000D_
3. Multi-surface airfoil_x000D_
_x000D_
4. Leading edge flap; trailing edge flap_x000D_
_x000D_
5. Noise reduction_x000D_
_x000D_
6. Wake vortex_x000D_
_x000D_
7. Air traffic management_x000D_
_x000D_
8. Certification Requirements"
