"project_id","title","description","text","labels","timestamp"
"P00001","Tilt Rotor ATM Integrated Validation of Environmental Low Noise Procedures","""Cleansky-Green Rotor Craft sub-project 5 is aimed at developing and testing new flight procedures for both helicopters and tilt rotors, aiming at significantly reduce environmental impact in terms of noise and gas emissions. This project contributes to this objective defining and validating, using an integrated Tilt Rotor-ATM simulation platform, new low noise ATC procedures for Tilt Rotor operations. Low-noise procedures in particular will require to accurately track possibly complex and steep trajectories both in take-off and landing, using optimized paths to avoid highly populated areas, using tilt rotors that have the potential to cruise speeds and altitudes compatible with fixed-wing traffic while taking-off and landing similarly to a conventional helicopter. Such a strategy heavily relies on advanced navigation and piloting aids to guarantee an acceptable level of pilot workload while retaining the benefits of the optimized paths. Moreover, future expansion of rotary-wing transportation will ask to fly in low visibility conditions under Instrumental Flight Rules (IFR), similarly to fixed-wing aircraft and using again sophisticated guidance means, as foreseen by SESAR, to ensure safety and low pilot workload. The transportation system will be strongly affected by the increased air traffic level and the need to control rotary-wing vehicles in IFR flight, in particular in terms of workload of the air traffic controllers. The ATM scenario models developed by this proposal will describe the ATM operations for approach and tower/ground control for a short-medium range mission with regard to a context using these new procedures developed for tilt rotors. The inclusion of initial findings of the SESAR initiative on trajectory management will represent another aspect of the innovation of the ATM world taken on board by GRC simulation and of the synergies between the major private/public investments now on-going in Europe.""","Tilt Rotor ATM Integrated Validation of Environmental Low Noise Procedures. ""Cleansky-Green Rotor Craft sub-project 5 is aimed at developing and testing new flight procedures for both helicopters and tilt rotors, aiming at significantly reduce environmental impact in terms of noise and gas emissions. This project contributes to this objective defining and validating, using an integrated Tilt Rotor-ATM simulation platform, new low noise ATC procedures for Tilt Rotor operations. Low-noise procedures in particular will require to accurately track possibly complex and steep trajectories both in take-off and landing, using optimized paths to avoid highly populated areas, using tilt rotors that have the potential to cruise speeds and altitudes compatible with fixed-wing traffic while taking-off and landing similarly to a conventional helicopter. Such a strategy heavily relies on advanced navigation and piloting aids to guarantee an acceptable level of pilot workload while retaining the benefits of the optimized paths. Moreover, future expansion of rotary-wing transportation will ask to fly in low visibility conditions under Instrumental Flight Rules (IFR), similarly to fixed-wing aircraft and using again sophisticated guidance means, as foreseen by SESAR, to ensure safety and low pilot workload. The transportation system will be strongly affected by the increased air traffic level and the need to control rotary-wing vehicles in IFR flight, in particular in terms of workload of the air traffic controllers. The ATM scenario models developed by this proposal will describe the ATM operations for approach and tower/ground control for a short-medium range mission with regard to a context using these new procedures developed for tilt rotors. The inclusion of initial findings of the SESAR initiative on trajectory management will represent another aspect of the innovation of the ATM world taken on board by GRC simulation and of the synergies between the major private/public investments now on-going in Europe.""","1B11, 1A2, 1A3, 1A11, 1C2","2026-04-06 19:24:33"
"P00002","GNSS-based ATM for Rotorcraft to Decrease Emissions and Noise","The GARDEN project - GNSS-based ATM for Rotorcraft to Decrease Emissions and Noise - will support the definition of new flight profiles for rotorcraft to reduce the noise footprint and the gas emissions. Concrete milestones will be implemented to address various types of operational and regulatory issues that rotorcraft operators will have to tackle. The GARDEN project will bring state-of-the-art expertise in Air Traffic Management to meet the CleanSky JU objectives. A major Air Navigation Service Provider, a National Regulator, two specialised engineering companies, procedure designers, as well as an environmental research and consultancy company, have teamed up to ensure: • The definition of tailored procedures and low-level routes for rotorcraft, • The safety and environmental assessment of the new procedures, • The promotion of these new types of operations through the performance of demonstrations, • The support of GARDEN experts to the CleanSky JU team in the frame of GRC-5 (Environment-Friendly Flight Path project). Involved in GNSS projects and Air Traffic Management for many years, the Egis Avia Company will lead the consortium to help making the required breakthrough a reality.","GNSS-based ATM for Rotorcraft to Decrease Emissions and Noise. The GARDEN project - GNSS-based ATM for Rotorcraft to Decrease Emissions and Noise - will support the definition of new flight profiles for rotorcraft to reduce the noise footprint and the gas emissions. Concrete milestones will be implemented to address various types of operational and regulatory issues that rotorcraft operators will have to tackle. The GARDEN project will bring state-of-the-art expertise in Air Traffic Management to meet the CleanSky JU objectives. A major Air Navigation Service Provider, a National Regulator, two specialised engineering companies, procedure designers, as well as an environmental research and consultancy company, have teamed up to ensure: • The definition of tailored procedures and low-level routes for rotorcraft, • The safety and environmental assessment of the new procedures, • The promotion of these new types of operations through the performance of demonstrations, • The support of GARDEN experts to the CleanSky JU team in the frame of GRC-5 (Environment-Friendly Flight Path project). Involved in GNSS projects and Air Traffic Management for many years, the Egis Avia Company will lead the consortium to help making the required breakthrough a reality.","1F1, 1J0, 1E6, 1A3, 1B11","2026-04-06 18:37:05"
"P00003","Curved Applications for Rotorcraft Environmental enhancement","""The CARE project – Curved Applications for Rotorcraft Environmental enhancement – will support the definition of new rotorcraft IFR curved operations benefiting from SBAS guidance. In this project, on top of the innovative character of those procedures, the consortium will really CARE about minimizing noise impact. Concrete milestones will be implemented to address various types of operational and regulatory issues that rotorcraft operators will have to tackle. The CARE project will bring state-of-the-art expertise in Air Traffic Management to meet the CleanSky JU objectives. A major Air Navigation Service Provider supported by the National Regulator, two specialized engineering companies and, procedure designers, have teamed up to ensure: • The definition of tailored criteria for designing low noise optimised curved procedures for rotorcraft, • The safety assessment of the new procedures, • The identification of the benefits brought by those specific curved applications, • The promotion of these new types of operations through the implementation of a concrete procedure, • The appropriate dissemination of CARE results encompassing the organization of a dedicated user forum with the different Stakeholders. Involved in GNSS projects and Air Traffic Management for many years, the Egis Avia Company will lead the consortium to help making the required breakthrough a reality.""","Curved Applications for Rotorcraft Environmental enhancement. ""The CARE project – Curved Applications for Rotorcraft Environmental enhancement – will support the definition of new rotorcraft IFR curved operations benefiting from SBAS guidance. In this project, on top of the innovative character of those procedures, the consortium will really CARE about minimizing noise impact. Concrete milestones will be implemented to address various types of operational and regulatory issues that rotorcraft operators will have to tackle. The CARE project will bring state-of-the-art expertise in Air Traffic Management to meet the CleanSky JU objectives. A major Air Navigation Service Provider supported by the National Regulator, two specialized engineering companies and, procedure designers, have teamed up to ensure: • The definition of tailored criteria for designing low noise optimised curved procedures for rotorcraft, • The safety assessment of the new procedures, • The identification of the benefits brought by those specific curved applications, • The promotion of these new types of operations through the implementation of a concrete procedure, • The appropriate dissemination of CARE results encompassing the organization of a dedicated user forum with the different Stakeholders. Involved in GNSS projects and Air Traffic Management for many years, the Egis Avia Company will lead the consortium to help making the required breakthrough a reality.""","1F2, 1E0, 1F1, 1F21, 1F18","2026-04-06 18:54:45"
"P00004","Health Monitoring of Offshore Wind Farms","Offshore wind farm health monitoring and maintenance are major challenges for renewable energy generation due to large scale, high cost and extreme environments. The development of faults in the tower or blades can cause serious secondary damage to the whole wind turbine system if prompt repair action is not taken and can lead to catastrophic failure. Although numerous techniques are being developed worldwide to monitor changes in specific parts of structure, the wide variety of materials and techniques involved means that skills and expertise are disparate and disconnected. For this new interdisciplinary area, this project will bring well recognised scientific institutions and researchers with complementary research experience and skills together, in the context of a collaborative scheme of research exchanges and networking. The proposed project is endorsed by 5 institutions, 2 EU partners and research groups in China and India, agreeing for a common exchange program built around the work packages to develop methods, models, systems and ICT tools for health monitoring and maintenance of offshore wind turbines. The members of the project consortium will provide complementary knowledge and strengths, as they have all carried out leading research in the area of non-destructive evaluation, structural health monitoring, communications and networks, information management, etc. The complementary capabilities have been drawn out in accordance with a joint research vision, commonly shared by the partners at the moment of writing the proposal. The project will consist of targeted research project undertaken by key individual researchers, supplemented and supported by PhD students, researchers and professors. The exchanges will enable the reciprocal transfer of knowledge between the members of the consortium and will be deployed by a set of various activities (visits, training in laboratories, lectures, workshops, seminars) open also to external stakeholders.","Health Monitoring of Offshore Wind Farms. Offshore wind farm health monitoring and maintenance are major challenges for renewable energy generation due to large scale, high cost and extreme environments. The development of faults in the tower or blades can cause serious secondary damage to the whole wind turbine system if prompt repair action is not taken and can lead to catastrophic failure. Although numerous techniques are being developed worldwide to monitor changes in specific parts of structure, the wide variety of materials and techniques involved means that skills and expertise are disparate and disconnected. For this new interdisciplinary area, this project will bring well recognised scientific institutions and researchers with complementary research experience and skills together, in the context of a collaborative scheme of research exchanges and networking. The proposed project is endorsed by 5 institutions, 2 EU partners and research groups in China and India, agreeing for a common exchange program built around the work packages to develop methods, models, systems and ICT tools for health monitoring and maintenance of offshore wind turbines. The members of the project consortium will provide complementary knowledge and strengths, as they have all carried out leading research in the area of non-destructive evaluation, structural health monitoring, communications and networks, information management, etc. The complementary capabilities have been drawn out in accordance with a joint research vision, commonly shared by the partners at the moment of writing the proposal. The project will consist of targeted research project undertaken by key individual researchers, supplemented and supported by PhD students, researchers and professors. The exchanges will enable the reciprocal transfer of knowledge between the members of the consortium and will be deployed by a set of various activities (visits, training in laboratories, lectures, workshops, seminars) open also to external stakeholders.","1D13, 1F1, 1C11, 1G11, 1D14","2026-04-06 18:59:23"
"P00005","Helicopters Deploy GNSS in Europe","The objectives of this project are to demonstrate new helicopter approach procedures for mountain rescue, offshore oilfield operations, helicopter emergency services and air taxi operations, and support these with necessary standards/certification/safety work to accelerate their operational deployment. Helicopter operations are often restricted to visual conditions which hampers their operational effectiveness. They are also in need of increased safety, since they have accident rates many times higher than commercial fixed-wing operations. This project will help both areas in this growing aviation sector. The project also includes small fixed-wing aircraft demonstrations of EGNOS APV approaches. Fixed wing operational deployments are already being managed by Eurocontrol. So the objectives here are to demonstrate fixed-wing benefits in Eastern Europe (not part of any previous work) and to demonstrate an integrated airport surveillance/navigation concept based on EGNOS.","Helicopters Deploy GNSS in Europe. The objectives of this project are to demonstrate new helicopter approach procedures for mountain rescue, offshore oilfield operations, helicopter emergency services and air taxi operations, and support these with necessary standards/certification/safety work to accelerate their operational deployment. Helicopter operations are often restricted to visual conditions which hampers their operational effectiveness. They are also in need of increased safety, since they have accident rates many times higher than commercial fixed-wing operations. This project will help both areas in this growing aviation sector. The project also includes small fixed-wing aircraft demonstrations of EGNOS APV approaches. Fixed wing operational deployments are already being managed by Eurocontrol. So the objectives here are to demonstrate fixed-wing benefits in Eastern Europe (not part of any previous work) and to demonstrate an integrated airport surveillance/navigation concept based on EGNOS.","1E0, 1E2, 1K1, 1H2, 1G11","2026-04-06 19:16:33"
"P00006","EGNOS Adoption in the Aviation Sector","The GIANT-2 Project intends to accelerate the adoption of EGNOS in the aviation sector, specifically in the Regional, Corporate and General Aviation, as well as the Helicopter SAR areas, focusing on the Topic’s primary objective. The previous GIANT project has successfully promoted and trialled the introduction of EGNOS applications in the area of Regional Aviation, Helicopter HEMS (Medical) operations and North Sea Oil Rigs operations. In fact, within this project, the EGNOS enabled LPV approaches were flown, for the first time in Europe, by aircraft of a commercial airline, Air Nostrum (not experimental, nor test aircraft). The GIANT-2 project will constitute an step forward by promoting and accelerating the EGNOS aviation applications in the other key niche markets interested in the EGNOS use, i.e. the areas of Corporate and General Aviation, School and Training Aviation and Helicopter SAR (Search and Rescue) operations. These activities will constitute specific Work Packages in the GIANT-2 project, namely WP 3, 4 and 5, respectively. Special effort will be devoted to the topic’s secondary objective in order to identify testing and operational practices that will lead to a successful EGNOS adoption, knowledge building and dissemination to a Europe-wide network of aviation community members with strong interest in GNSS technology, focusing on showing economic and operational benefits to end users. Specific Work Packages will be devoted to this objective, namely WP 1, 2, 6, 7 and 8. End users are the main community and decision makers in order to introduce and adopt the usage of the EGNOS system and service in all markets. In aviation, airlines, helicopter operators, aircraft owners and pilots constitute the end users community, and they are key partners of the project.","EGNOS Adoption in the Aviation Sector. The GIANT-2 Project intends to accelerate the adoption of EGNOS in the aviation sector, specifically in the Regional, Corporate and General Aviation, as well as the Helicopter SAR areas, focusing on the Topic’s primary objective. The previous GIANT project has successfully promoted and trialled the introduction of EGNOS applications in the area of Regional Aviation, Helicopter HEMS (Medical) operations and North Sea Oil Rigs operations. In fact, within this project, the EGNOS enabled LPV approaches were flown, for the first time in Europe, by aircraft of a commercial airline, Air Nostrum (not experimental, nor test aircraft). The GIANT-2 project will constitute an step forward by promoting and accelerating the EGNOS aviation applications in the other key niche markets interested in the EGNOS use, i.e. the areas of Corporate and General Aviation, School and Training Aviation and Helicopter SAR (Search and Rescue) operations. These activities will constitute specific Work Packages in the GIANT-2 project, namely WP 3, 4 and 5, respectively. Special effort will be devoted to the topic’s secondary objective in order to identify testing and operational practices that will lead to a successful EGNOS adoption, knowledge building and dissemination to a Europe-wide network of aviation community members with strong interest in GNSS technology, focusing on showing economic and operational benefits to end users. Specific Work Packages will be devoted to this objective, namely WP 1, 2, 6, 7 and 8. End users are the main community and decision makers in order to introduce and adopt the usage of the EGNOS system and service in all markets. In aviation, airlines, helicopter operators, aircraft owners and pilots constitute the end users community, and they are key partners of the project.","1F2, 1F22, 1D13, 1F33, 1E0","2026-04-20 20:42:20"
"P00007","Methodology for framework programmes’ impact assessment in transport","This proposal is responding to the first FP7- AERONAUTICS and AIR TRANSPORT call topics TPT.2007.6 ""Development of methodology and evaluation of the impact of FP5 and FP6 projects in the field of Transport"". The consortium is proposing a methodology founded on three basic impact criteria (MEFISTO Methodology): - the leverage effect - the driving effect - the structuring effect to measure the impact of FP5/FP6 on the European Unions Research and Technology development in the area of transport. The first major output of the work will be a description of the process methodology developed for assessing the impact of FP5 and 6 on a variety of issues of importance to each particular sector. The second major output will be a demonstration of this process methodology in use in one sector, the aviation sector. This will include the assessed results generated for that sector. The third major output will be a description of the process(es) necessary to adapt the process for use in another particular transport sector. This will include the ways in which the different conditions applicable should be recognised and the different impact areas identified.","Methodology for framework programmes’ impact assessment in transport. This proposal is responding to the first FP7- AERONAUTICS and AIR TRANSPORT call topics TPT.2007.6 ""Development of methodology and evaluation of the impact of FP5 and FP6 projects in the field of Transport"". The consortium is proposing a methodology founded on three basic impact criteria (MEFISTO Methodology): - the leverage effect - the driving effect - the structuring effect to measure the impact of FP5/FP6 on the European Unions Research and Technology development in the area of transport. The first major output of the work will be a description of the process methodology developed for assessing the impact of FP5 and 6 on a variety of issues of importance to each particular sector. The second major output will be a demonstration of this process methodology in use in one sector, the aviation sector. This will include the assessed results generated for that sector. The third major output will be a description of the process(es) necessary to adapt the process for use in another particular transport sector. This will include the ways in which the different conditions applicable should be recognised and the different impact areas identified.","1F22, 1F24, 1F25, 1F12, 1F1","2026-06-06 01:13:37"
"P00008","IMPact SHIELD Design B","""This proposal is to design and manufacture an innovative shield to protect critical components of an aircraft against high velocity shrapnel from an engine burst. The concept proposed here exploits the weight advantages of high performance fibres, in a design that uses a net like fibre membrane for energy absorption. Considerations for their integration in an aircraft are made. The proposal has come from a close collaboration between the Imperial College Consultants and Swerea SICOMP. It is therefore the result of the combined skills in manufacturing structural composites for the defence and aeronautical industry as well as specific ballistic design skills. Both institutes have the necessary skills, experience and equipment to design and manufacture a successful shield. As both these institutes are non profit research establishments actively working to advance composite technology, the materials and techniques have been chosen based on the type of treat and the aircraft integration constraints and there is no constrain to use any one particular material supplier. Publishing and dissemination of the results is also not a problem if so desired.""","IMPact SHIELD Design B. ""This proposal is to design and manufacture an innovative shield to protect critical components of an aircraft against high velocity shrapnel from an engine burst. The concept proposed here exploits the weight advantages of high performance fibres, in a design that uses a net like fibre membrane for energy absorption. Considerations for their integration in an aircraft are made. The proposal has come from a close collaboration between the Imperial College Consultants and Swerea SICOMP. It is therefore the result of the combined skills in manufacturing structural composites for the defence and aeronautical industry as well as specific ballistic design skills. Both institutes have the necessary skills, experience and equipment to design and manufacture a successful shield. As both these institutes are non profit research establishments actively working to advance composite technology, the materials and techniques have been chosen based on the type of treat and the aircraft integration constraints and there is no constrain to use any one particular material supplier. Publishing and dissemination of the results is also not a problem if so desired.""","",""
"P00009","Model Design and Manufacturing of the Turbofan Configuration for Low Speed Aerodynamic and Acoustic Testing","""A requirement has been produced to design and manufacture an innovative new wind tunnel model to enable the acquisition of aerodynamic and acoustic data. Nacelles and pylons will be included to accommodate two turbofan simulators which are to be supplied by DNW/ONERA. A set of wings will be produced which will have removable leading edges and trailing edge flaps. This will allow a wide range of configurations to be investigated, including clean, take-off, landing and airbrakes on/off. A modular empennage will also be produced. These items will be designed to interface with the remainder of the model which will be provided by a partner independent of this CFP. The resultant model will be tested in a low speed wind tunnel at atmospheric pressure to investigate two topics. Firstly, the effectiveness of the empennage in shielding engine noise, and secondly the assessment of wing aerodynamic efficiency together with low speed take-off and landing performance and handling qualities. A large number of steady and unsteady probes will be installed in the model. Kulites ® will be mounted in the thin nacelle and empennage. These will be supplemented by gauges on the empennage to measure loads. Aircraft Research Association (ARA) proposes to apply its extensive experience in wind tunnel model design and manufacture. ARA will lead the programme of work with manufacturing support provided by Future Advanced Manufacturing Ltd (FAM). ARA and FAM have worked closely on many wind tunnel model programmes, producing high quality models to exacting tolerances and demanding timescales. Over many years, ARA and FAM have established reliable working practices, innovative technical solutions to challenging requirements and effective project control and management processes. ARA and FAM will apply this expertise to the requirements of this new call to ensure that all aspects of the model are achieved in the required timescale and budget. .""","Model Design and Manufacturing of the Turbofan Configuration for Low Speed Aerodynamic and Acoustic Testing. ""A requirement has been produced to design and manufacture an innovative new wind tunnel model to enable the acquisition of aerodynamic and acoustic data. Nacelles and pylons will be included to accommodate two turbofan simulators which are to be supplied by DNW/ONERA. A set of wings will be produced which will have removable leading edges and trailing edge flaps. This will allow a wide range of configurations to be investigated, including clean, take-off, landing and airbrakes on/off. A modular empennage will also be produced. These items will be designed to interface with the remainder of the model which will be provided by a partner independent of this CFP. The resultant model will be tested in a low speed wind tunnel at atmospheric pressure to investigate two topics. Firstly, the effectiveness of the empennage in shielding engine noise, and secondly the assessment of wing aerodynamic efficiency together with low speed take-off and landing performance and handling qualities. A large number of steady and unsteady probes will be installed in the model. Kulites ® will be mounted in the thin nacelle and empennage. These will be supplemented by gauges on the empennage to measure loads. Aircraft Research Association (ARA) proposes to apply its extensive experience in wind tunnel model design and manufacture. ARA will lead the programme of work with manufacturing support provided by Future Advanced Manufacturing Ltd (FAM). ARA and FAM have worked closely on many wind tunnel model programmes, producing high quality models to exacting tolerances and demanding timescales. Over many years, ARA and FAM have established reliable working practices, innovative technical solutions to challenging requirements and effective project control and management processes. ARA and FAM will apply this expertise to the requirements of this new call to ensure that all aspects of the model are achieved in the required timescale and budget. .""","1A8, 1A4, 1A3","2026-06-06 17:29:11"
"P00010","Design and Manufacturing of Baseline Low-Speed, Low-Sweep Wind Tunnel Model","The EULOSAM project will deliver a large scale half-model to be tested in a pressurized low speed wind tunnel (WT). The model design will be performed under a previous CfP topic (JTI-CS-2010-3-SFWA-02-007), while Dassault Aviation will deliver a fuselage that has to be modified in order to fit the new laminar wing. The fuselage modifications must be designed in such a way that the fuselage can return to its original shape after the WT test campaign. The model will be composed by different parts, therefore, according to the requirements reported in the JTI-CS-2012-02-SFWA-02-029, special care will be dedicated to the surface refinement, to the leading edge slat waviness and model assembly avoiding step/gap. A control of gap and overlap for the flap and slat under representative loads for each configuration (Take-off & Landing) will be performed. In addition, the integration of the pressure instrumentation will be performed by minimizing the impact on the flow. The model will include: 1 A left-hand side modular wing; 2 A set of body-wing fairings to fit with the fuselage; 3 A left hand side cross-shaped Horizontal Tail Plane (HTP) that fits with the former model HTP root chord; 4 A simplified main landing gear and its cavity. The project will contribute • in pushing forward the design of a future jet based on natural laminar flow technology increasing and strengthen the competitiveness of European manufacturing industry • to the need to improve the environmental impact of aircraft with regards to emissions. The project consortium consists of 3 Small Enterprises who already participated to European projects and have the technical skill and the ability to deliver as result the products before listed according to the JTI-CS-2012-02-SFWA-02-029 requirements. The personnel involved have significant experience in the areas of mechanical wing design, structural verification by FEM and wind tunnel model manufacturing.","Design and Manufacturing of Baseline Low-Speed, Low-Sweep Wind Tunnel Model. The EULOSAM project will deliver a large scale half-model to be tested in a pressurized low speed wind tunnel (WT). The model design will be performed under a previous CfP topic (JTI-CS-2010-3-SFWA-02-007), while Dassault Aviation will deliver a fuselage that has to be modified in order to fit the new laminar wing. The fuselage modifications must be designed in such a way that the fuselage can return to its original shape after the WT test campaign. The model will be composed by different parts, therefore, according to the requirements reported in the JTI-CS-2012-02-SFWA-02-029, special care will be dedicated to the surface refinement, to the leading edge slat waviness and model assembly avoiding step/gap. A control of gap and overlap for the flap and slat under representative loads for each configuration (Take-off & Landing) will be performed. In addition, the integration of the pressure instrumentation will be performed by minimizing the impact on the flow. The model will include: 1 A left-hand side modular wing; 2 A set of body-wing fairings to fit with the fuselage; 3 A left hand side cross-shaped Horizontal Tail Plane (HTP) that fits with the former model HTP root chord; 4 A simplified main landing gear and its cavity. The project will contribute • in pushing forward the design of a future jet based on natural laminar flow technology increasing and strengthen the competitiveness of European manufacturing industry • to the need to improve the environmental impact of aircraft with regards to emissions. The project consortium consists of 3 Small Enterprises who already participated to European projects and have the technical skill and the ability to deliver as result the products before listed according to the JTI-CS-2012-02-SFWA-02-029 requirements. The personnel involved have significant experience in the areas of mechanical wing design, structural verification by FEM and wind tunnel model manufacturing.","",""
